Date,BHP.AX,RIO.AX,FMG.AX,NST.AX,CBA.AX,NAB.AX,WBC.AX,ANZ.AX,WES.AX,WOW.AX,COL.AX,JBH.AX,CSL.AX,RMD.AX,COH.AX,SHL.AX,XRO.AX,CPU.AX,WTC.AX,APX.AX,BHP.AX_MA20,RIO.AX_MA20,FMG.AX_MA20,NST.AX_MA20,CBA.AX_MA20,NAB.AX_MA20,WBC.AX_MA20,ANZ.AX_MA20,WES.AX_MA20,WOW.AX_MA20,COL.AX_MA20,JBH.AX_MA20,CSL.AX_MA20,RMD.AX_MA20,COH.AX_MA20,SHL.AX_MA20,XRO.AX_MA20,CPU.AX_MA20,WTC.AX_MA20,APX.AX_MA20,BHP.AX_MA50,RIO.AX_MA50,FMG.AX_MA50,NST.AX_MA50,CBA.AX_MA50,NAB.AX_MA50,WBC.AX_MA50,ANZ.AX_MA50,WES.AX_MA50,WOW.AX_MA50,COL.AX_MA50,JBH.AX_MA50,CSL.AX_MA50,RMD.AX_MA50,COH.AX_MA50,SHL.AX_MA50,XRO.AX_MA50,CPU.AX_MA50,WTC.AX_MA50,APX.AX_MA50
2023-06-28,45.41999816894531,109.5197525024414,18.562673568725586,11.669103622436523,92.43821716308594,23.774356842041016,19.187742233276367,20.741165161132812,46.14628601074219,37.587646484375,17.12894630432129,39.824668884277344,270.4057922363281,31.914318084716797,222.3697967529297,33.5435791015625,114.69000244140625,21.708242416381836,77.44502258300781,2.14630389213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-29,44.95000076293945,108.26177215576172,18.64701271057129,11.47036075592041,92.93040466308594,23.864927291870117,19.205673217773438,20.989030838012695,46.183921813964844,37.597084045410156,17.08260154724121,40.00908279418945,270.3572082519531,32.171443939208984,223.25460815429688,33.58077621459961,117.27999877929688,21.963302612304688,79.13033294677734,2.191776990890503,44.846999931335446,107.84796371459962,17.957974433898926,12.32070050239563,91.2286449432373,23.388080978393553,18.613454151153565,20.454789638519287,45.56816501617432,36.57698078155518,16.790630054473876,39.24421730041504,283.7162155151367,32.00628843307495,231.25341033935547,32.84285564422608,113.366499710083,21.47349615097046,77.46395835876464,2.6565059423446655,,,,,,,,,,,,,,,,,,,,
2023-06-30,44.9900016784668,108.47931671142578,18.70604705810547,11.432504653930664,93.11613464355469,23.883041381835938,19.13394546508789,20.989030838012695,46.41912078857422,37.474464416503906,17.073331832885742,40.34103012084961,269.4634704589844,32.448360443115234,222.7295684814453,33.0786018371582,118.93000030517578,22.086105346679688,79.58905792236328,2.1735880374908447,44.99300003051758,108.1917797088623,18.076468467712402,12.262496948242188,91.3897663116455,23.403024864196777,18.646629333496094,20.498166370391846,45.6344913482666,36.65432548522949,16.804069995880127,39.306457710266116,282.11768035888673,32.01321115493774,230.32095489501953,32.848900604248044,113.71149978637695,21.522146034240723,77.67886199951172,2.6164901494979858,,,,,,,,,,,,,,,,,,,,
2023-07-03,45.2599983215332,109.23599243164062,18.781951904296875,11.839456558227539,93.73834228515625,23.901153564453125,19.214641571044922,21.166080474853516,47.04945373535156,37.606510162353516,17.073331832885742,41.36454391479492,268.3656921386719,32.58681869506836,222.71981811523438,33.25529098510742,117.86000061035156,22.123891830444336,77.24555969238281,2.1644930839538574,45.093499946594235,108.44432067871094,18.18526382446289,12.20997176170349,91.57689056396484,23.43019552230835,18.6865291595459,20.54862508773804,45.73844966888428,36.76373977661133,16.83187665939331,39.420334815979004,280.57548828125,32.01073865890503,229.54552764892577,32.846575546264646,114.01099967956543,21.581659507751464,77.72024688720703,2.553738057613373,,,,,,,,,,,,,,,,,,,,
2023-07-04,45.20000076293945,107.96855926513672,18.621707916259766,12.028736114501953,94.98272705078125,24.200031280517578,19.438796997070312,21.41394805908203,46.83306884765625,37.61594772338867,17.00844955444336,41.21701431274414,268.6571044921875,32.171443939208984,223.0698699951172,32.994903564453125,117.1500015258789,22.218360900878906,77.53475952148438,2.1826820373535156,45.15349998474121,108.56538925170898,18.256107139587403,12.169749784469605,91.79883880615235,23.460536193847656,18.727325534820558,20.59598550796509,45.78548965454102,36.85617637634277,16.85365867614746,39.49041309356689,278.91526184082034,31.975135135650635,228.63008728027344,32.812632179260255,114.37799987792968,21.63219871520996,77.80451278686523,2.5037182569503784,,,,,,,,,,,,,,,,,,,,
2023-07-05,45.0,107.96855926513672,18.66387939453125,12.038199424743652,94.51840209960938,24.01889419555664,19.29533576965332,21.23689842224121,46.851890563964844,37.4838981628418,17.017717361450195,41.576622009277344,266.3644714355469,32.023101806640625,219.35560607910156,32.7717170715332,117.41999816894531,22.03887367248535,76.52755737304688,2.2281548976898193,45.22350006103515,108.69875373840333,18.330745792388917,12.133313369750976,92.04121780395508,23.494952392578124,18.78022632598877,20.651312923431398,45.88239212036133,36.964176177978516,16.883319187164307,39.6139720916748,277.28660736083987,31.93162031173706,228.00974655151367,32.81030750274658,114.68549995422363,21.700214099884032,77.8543743133545,2.464611899852753,,,,,,,,,,,,,,,,,,,,
2023-07-06,43.970001220703125,106.48357391357422,18.34339714050293,12.028736114501953,93.26472473144531,23.51170539855957,18.963584899902344,20.829689025878906,45.64766311645508,37.08774185180664,16.869417190551758,40.7559700012207,264.7130432128906,31.96376609802246,218.12074279785156,32.641517639160156,117.54000091552734,22.14278793334961,77.27547454833984,2.137208938598633,45.241000175476074,108.74368133544922,18.39779415130615,12.098769807815552,92.26130905151368,23.52483997344971,18.830437183380127,20.686722564697266,45.906852912902835,37.05472602844238,16.90741844177246,39.67114105224609,275.52001037597654,31.886127471923828,227.11521072387694,32.81542205810547,114.95699996948242,21.76161699295044,77.9037368774414,2.4064069986343384,,,,,,,,,,,,,,,,,,,,
2023-07-07,43.20000076293945,105.69851684570312,18.27592658996582,11.574463844299316,91.6860122680664,23.239999771118164,18.694599151611328,20.608379364013672,44.30231475830078,36.65385437011719,16.646961212158203,39.93532180786133,259.28253173828125,31.95387077331543,215.42742919921875,32.15793991088867,115.19999694824219,21.934961318969727,75.54029846191406,2.0462639331817627,45.19450016021729,108.6372730255127,18.447131633758545,12.055708599090575,92.3931785583496,23.547482204437255,18.860025691986085,20.713279819488527,45.889448165893555,37.11697902679443,16.91900453567505,39.71401786804199,273.6329513549805,31.889094257354735,226.1837272644043,32.80100765228271,115.4064998626709,21.76350622177124,77.99398612976074,2.3500209927558897,,,,,,,,,,,,,,,,,,,,
2023-07-10,42.720001220703125,104.49729919433594,17.90484046936035,11.782671928405762,91.4909896850586,23.221885681152344,18.685632705688477,20.590673446655273,44.020076751708984,36.238834381103516,16.51719856262207,39.92609405517578,256.5818786621094,31.85497283935547,215.7580108642578,31.962650299072266,116.27999877929688,21.84994125366211,75.64999389648438,2.0189809799194336,45.09450016021729,108.44337387084961,18.465685653686524,12.0131206035614,92.5194751739502,23.5674072265625,18.886476135253908,20.73142719268799,45.85228633880615,37.157066345214844,16.92363910675049,39.75551147460938,271.6327163696289,31.892061042785645,225.3290573120117,32.77450389862061,115.76649971008301,21.780037593841552,77.99298896789551,2.3031842947006225,,,,,,,,,,,,,,,,,,,,
2023-07-11,43.33000183105469,105.84986114501953,18.25905990600586,12.142304420471191,92.51251220703125,23.710960388183594,18.98151969909668,21.068702697753906,44.76331329345703,36.38975143432617,16.619155883789062,40.534671783447266,257.4465026855469,32.21100616455078,219.2486572265625,32.39043045043945,119.0,22.057769775390625,76.59735870361328,2.064452886581421,45.04650020599365,108.39750061035156,18.501529216766357,11.997505044937133,92.66341705322266,23.610880374908447,18.925479316711424,20.769934940338135,45.831588935852054,37.17734603881836,16.925029468536376,39.83527164459228,269.5193069458008,31.905906677246094,224.62509689331054,32.75683460235596,116.0354995727539,21.80696039199829,77.84340400695801,2.2636231422424316,,,,,,,,,,,,,,,,,,,,
